filename	read_id	run_id	batch_id	channel	mux	start_time	duration	minknow_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
PAO92523_pass_71307b67_e3e0455f_199.pod5	e7f95e6c-0cfd-46f0-87a6-89ce417de253	e3e0455f7da9f1a836287fc130ffc62591587f55	0	359	4	4728.049000	2.125600	1264	TRUE	4728.049000	1771	2.125600	837	11.231251	3.006835	100.680992	18.590902	100.680992	18.590902
PAO92523_pass_71307b67_e3e0455f_199.pod5	935ff44a-127e-45ce-83b4-10df96393849	e3e0455f7da9f1a836287fc130ffc62591587f55	0	359	4	4724.375200	2.141400	1169	TRUE	4724.375200	1784	2.141400	513	8.924675	2.537161	99.536118	19.660881	99.536118	19.660881
PAO92523_pass_71307b67_e3e0455f_199.pod5	8179d81a-42d8-4a13-859d-4c607b4c8498	e3e0455f7da9f1a836287fc130ffc62591587f55	0	355	1	4727.172600	1.315200	828	TRUE	4727.172600	1096	1.315200	483	9.813911	2.896316	102.856606	19.192764	102.856606	19.192764
PAO92523_pass_71307b67_e3e0455f_199.pod5	b785c5b9-20d5-4502-8d35-a6bb11d25864	e3e0455f7da9f1a836287fc130ffc62591587f55	0	352	1	4724.418000	2.098600	1105	TRUE	4724.418000	1748	2.098600	633	13.620132	2.848228	101.002747	18.858397	101.002747	18.858397
PAO92523_pass_71307b67_e3e0455f_199.pod5	5de4d03d-e904-4069-98ca-5e917cdc00af	e3e0455f7da9f1a836287fc130ffc62591587f55	0	348	2	4725.400400	1.926000	1135	TRUE	4725.400400	1605	1.926000	736	11.131647	3.038181	97.721550	19.259638	97.721550	19.259638
PAO92523_pass_71307b67_e3e0455f_199.pod5	de6ae20e-13f8-4c72-8d86-c02d66a13b7f	e3e0455f7da9f1a836287fc130ffc62591587f55	0	392	4	4724.181800	1.831200	1228	TRUE	4724.181800	1526	1.831200	835	14.201356	3.374495	101.578926	18.323406	101.578926	18.323406
PAO92523_pass_71307b67_e3e0455f_199.pod5	5202ac44-d461-4fae-939f-3512ca5e2c56	e3e0455f7da9f1a836287fc130ffc62591587f55	0	384	2	4727.465800	2.112000	1219	TRUE	4727.465800	1760	2.112000	729	11.486945	2.887104	95.532829	20.195871	95.532829	20.195871
PAO92523_pass_71307b67_e3e0455f_199.pod5	79aad55d-c9d4-42da-9a26-294e4ee88877	e3e0455f7da9f1a836287fc130ffc62591587f55	0	384	2	4724.711400	2.346800	1433	TRUE	4724.711400	1955	2.346800	837	10.669467	2.904267	97.059311	19.393387	97.059311	19.393387
PAO92523_pass_71307b67_e3e0455f_199.pod5	5490fa63-6cd3-4f0b-acbe-9ec58b2afbd2	e3e0455f7da9f1a836287fc130ffc62591587f55	0	371	4	4724.937400	2.120800	1263	TRUE	4724.937400	1767	2.120800	829	13.050790	3.037863	101.601372	19.928375	101.601372	19.928375
PAO92523_pass_71307b67_e3e0455f_199.pod5	5d9429bc-b99b-436a-9151-a59918c0458c	e3e0455f7da9f1a836287fc130ffc62591587f55	0	335	4	4728.285200	1.889400	1145	TRUE	4728.285200	1574	1.889400	797	9.812309	3.077153	100.830650	20.463366	100.830650	20.463366
PAO92523_pass_71307b67_e3e0455f_199.pod5	d3d4e589-0f52-4749-a3c6-9b030391bcd3	e3e0455f7da9f1a836287fc130ffc62591587f55	0	334	1	4725.913600	4.261000	2351	TRUE	4725.913600	3550	4.261000	810	9.730710	2.484485	99.541733	15.447836	99.541733	15.447836
PAO92523_pass_71307b67_e3e0455f_199.pod5	e484290d-e494-44cc-be32-71c4997ea5aa	e3e0455f7da9f1a836287fc130ffc62591587f55	0	325	4	4728.023600	2.151000	1276	TRUE	4728.023600	1792	2.151000	802	10.484967	2.944367	96.544868	20.663988	96.544868	20.663988
PAO92523_pass_71307b67_e3e0455f_199.pod5	bd4108d3-a29a-43e9-83d1-942631f4b497	e3e0455f7da9f1a836287fc130ffc62591587f55	0	325	4	4724.785600	2.872000	1641	TRUE	4724.785600	2393	2.872000	890	11.668946	2.862103	99.693260	17.788418	99.693260	17.788418
PAO92523_pass_71307b67_e3e0455f_199.pod5	6a1ae1c5-0437-44c9-a0b2-a911a0111176	e3e0455f7da9f1a836287fc130ffc62591587f55	0	322	1	4727.058200	1.973200	1290	TRUE	4727.058200	1644	1.973200	916	13.158595	3.244065	99.953293	17.186552	99.953293	17.186552
PAO92523_pass_71307b67_e3e0455f_199.pod5	0d905d9c-a3a2-48d4-999d-6402a13109fb	e3e0455f7da9f1a836287fc130ffc62591587f55	0	261	2	4725.656600	2.001000	1261	TRUE	4725.656600	1667	2.001000	747	10.429014	2.958616	101.201042	17.387173	101.201042	17.387173
PAO92523_pass_71307b67_e3e0455f_199.pod5	66b37cb2-198f-4411-a576-53b4fc1ebf7e	e3e0455f7da9f1a836287fc130ffc62591587f55	0	368	1	4723.804400	1.866600	1087	TRUE	4723.804400	1555	1.866600	731	9.546918	2.966870	100.037476	19.928375	100.037476	19.928375
PAO92523_pass_71307b67_e3e0455f_199.pod5	ba4cd92d-530b-4357-84f8-142ca937ca52	e3e0455f7da9f1a836287fc130ffc62591587f55	0	283	2	4725.404400	1.477600	877	TRUE	4725.404400	1231	1.477600	579	10.454903	2.981534	99.343437	20.797735	99.343437	20.797735
PAO92523_pass_71307b67_e3e0455f_199.pod5	1d6cfc2e-e19f-47e7-973f-de0606e6addc	e3e0455f7da9f1a836287fc130ffc62591587f55	0	282	2	4724.937400	0.648600	409	TRUE	4724.937400	540	0.648600	232	9.761494	2.880064	100.561264	19.125891	100.561264	19.125891
PAO92523_pass_71307b67_e3e0455f_199.pod5	6a30f9b3-025c-4786-94b8-c326185df919	e3e0455f7da9f1a836287fc130ffc62591587f55	0	281	2	4727.217200	1.999200	1207	TRUE	4727.217200	1666	1.999200	795	10.472144	3.042582	101.590149	20.062122	101.590149	20.062122
PAO92523_pass_71307b67_e3e0455f_199.pod5	4fc9cf99-70c5-429d-a83a-ad32cc57d4f8	e3e0455f7da9f1a836287fc130ffc62591587f55	0	279	1	4726.143600	0.873000	638	TRUE	4726.143600	727	0.873000	489	9.169818	3.392691	100.647308	20.062122	100.647308	20.062122
PAO92523_pass_71307b67_e3e0455f_199.pod5	eae874f1-e0a8-4e66-a944-40d36ce1e5ef	e3e0455f7da9f1a836287fc130ffc62591587f55	0	279	1	4723.532800	2.138200	1354	TRUE	4723.532800	1781	2.138200	882	11.267159	3.127804	101.410561	21.667093	101.410561	21.667093
